p,coverage rate,avg length,method,F1 score,E size
10,1.0,0.34164673943159535,Data Splitting,0.11764705882352941,4
10,1.0,0.2738995695220724,Naive,0.125,2
10,0.75,0.3086358158071536,Approx,0.4210526315789474,8
10,1.0,0.4038041430278574,Data Splitting,0.14285714285714288,2
10,0.6666666666666666,0.2401534911973142,Naive,0.375,6
10,1.0,0.3273390083325995,Approx,0.33333333333333337,10
10,0.5,0.38018375953853856,Data Splitting,0.2666666666666667,4
10,0.6,0.25737416248067985,Naive,0.4444444444444444,10
10,0.7142857142857143,0.35612615185207686,Approx,0.5,14
10,1.0,0.30226006323359533,Data Splitting,0.14285714285714288,2
10,1.0,0.2733148729791175,Naive,0.14285714285714288,2
10,0.5714285714285714,0.37220765676243356,Approx,0.5,14
10,0.0,0.36391935660370067,Data Splitting,0.16666666666666669,2
10,0.6666666666666666,0.2436717559124364,Naive,0.42857142857142855,6
10,0.6,0.3193231762212811,Approx,0.625,10
10,1.0,0.3546845148839298,Data Splitting,0.2222222222222222,4
10,1.0,0.2393504975204242,Naive,0.4,8
10,1.0,0.32896931339960883,Approx,0.47619047619047616,10
10,1.0,0.43826713411126783,Data Splitting,0.13333333333333333,2
10,0.6666666666666666,0.260340084849815,Naive,0.35294117647058826,6
10,0.75,0.35275290039869456,Approx,0.4444444444444445,8
10,1.0,0.42260469532064543,Data Splitting,0.4,6
10,0.75,0.27322983115550015,Naive,0.5,8
10,1.0,0.3607070704780111,Approx,0.375,8
10,1.0,0.34017306941414627,Data Splitting,0.16666666666666669,2
10,1.0,0.23876196220066034,Naive,0.3076923076923077,4
10,0.3333333333333333,0.28708499530765225,Approx,0.28571428571428575,6
10,1.0,0.4229353190350783,Data Splitting,0.11764705882352941,4
10,0.5,0.26531982554826705,Naive,0.23529411764705882,4
10,1.0,0.34571308032147213,Approx,0.3,10
20,1.0,0.3316065860748958,Data Splitting,0.17391304347826084,4
20,1.0,0.2483063521396503,Naive,0.32,8
20,0.9230769230769231,0.3415026524360592,Approx,0.47058823529411764,26
20,0.5,0.39038359357385255,Data Splitting,0.08,4
20,1.0,0.25208343729802096,Naive,0.23076923076923078,6
20,0.9090909090909091,0.3304137253786127,Approx,0.411764705882353,22
20,1.0,0.38660099300407735,Data Splitting,0.14285714285714288,4
20,0.3333333333333333,0.28419193038447194,Naive,0.20689655172413793,6
20,0.9090909090909091,0.3550009049559448,Approx,0.21621621621621623,22
20,1.0,0.3660794376269691,Data Splitting,0.16,6
20,0.6666666666666666,0.23802081432416114,Naive,0.24000000000000002,6
20,0.75,0.33243341846285984,Approx,0.4666666666666667,16
20,1.0,0.4460918184633297,Data Splitting,0.08695652173913045,2
20,0.0,0.2885100822800839,Naive,0.08695652173913045,2
20,0.8571428571428571,0.3718734498674735,Approx,0.3888888888888889,28
20,1.0,0.3226231637442264,Data Splitting,0.08333333333333333,2
20,1.0,0.23639636513561632,Naive,0.23076923076923078,6
20,0.75,0.32371731906706697,Approx,0.4516129032258065,16
20,1.0,0.41786966105244994,Data Splitting,0.08333333333333333,2
20,0.0,0.28692617821319005,Naive,0.16,4
20,1.0,0.34541394168647693,Approx,0.4,24
20,1.0,0.37959669944920277,Data Splitting,0.16666666666666669,4
20,1.0,0.25304063366278906,Naive,0.08695652173913045,2
20,1.0,0.3484961118041942,Approx,0.29411764705882354,24
20,1.0,0.42118468447245005,Data Splitting,0.15384615384615385,4
