"n,p",coverage rate,avg length,method,F1 score,F1 score (post inf),E size
"(200,10)",1.0,0.33556116921732315,Data Splitting,0.05405405405405406,0.0,2
"(200,10)",0.0,0.23293971722607168,Naive,0.05405405405405406,0.0273972602739726,2
"(200,10)",1.0,0.29496183641685225,Approx,0.10526315789473684,0.0273972602739726,4
"(200,10)",1.0,0.32310251172922433,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.22778336616695652,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.6666666666666666,0.367258152230635,Approx,0.125,0.02197802197802198,6
"(200,10)",1.0,0.4129044349331229,Data Splitting,0.0851063829787234,0.02197802197802198,4
"(200,10)",0.0,0.2799979890623813,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.6666666666666666,0.3480746748022403,Approx,0.125,0.02197802197802198,6
"(200,10)",1.0,0.39035677106576194,Data Splitting,0.05405405405405406,0.0,2
"(200,10)",0.0,0.2921290657961382,Naive,0.05405405405405406,0.0273972602739726,2
"(200,10)",1.0,0.3393048425609879,Approx,0.10526315789473684,0.0273972602739726,4
"(200,10)",1.0,0.3397604248523043,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",1.0,0.24285707760341452,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.75,0.34167408970405455,Approx,0.163265306122449,0.0,8
"(200,10)",1.0,0.3728693717897204,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.2594880229912685,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.6666666666666666,0.3553110747258923,Approx,0.125,0.02197802197802198,6
"(200,10)",0.0,0.38155987018151055,Data Splitting,0.04395604395604395,0.02222222222222222,2
"(200,10)",0.0,0.27908130655430463,Naive,0.04395604395604395,0.02222222222222222,2
"(200,10)",0.6666666666666666,0.3880009607775677,Approx,0.12631578947368421,0.02222222222222222,6
"(200,10)",1.0,0.35648849474642696,Data Splitting,0.05405405405405406,0.0,2
"(200,10)",0.0,0.2591868729885278,Naive,0.05405405405405406,0.0273972602739726,2
"(200,10)",0.75,0.3091060801871433,Approx,0.19999999999999998,0.0273972602739726,8
"(200,10)",1.0,0.31594496039488773,Data Splitting,0.04395604395604395,0.02222222222222222,2
"(200,10)",0.0,0.2598796876254085,Naive,0.04395604395604395,0.02222222222222222,2
"(200,10)",1.0,0.3240730238156139,Approx,0.16494845360824742,0.02222222222222222,8
"(200,10)",1.0,0.4246881297399145,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.28460649033031016,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.6666666666666666,0.3626700645568229,Approx,0.125,0.0,6
"(200,10)",0.0,0.335213561366833,Data Splitting,0.05405405405405406,0.0273972602739726,2
"(200,10)",0.0,0.2568862151100878,Naive,0.05405405405405406,0.0273972602739726,2
"(200,10)",1.0,0.3707643847854128,Approx,0.27906976744186046,0.0,14
"(200,10)",1.0,0.3427096839014928,Data Splitting,0.0449438202247191,0.022727272727272724,2
"(200,10)",0.0,0.23998611423975183,Naive,0.0449438202247191,0.022727272727272724,2
"(200,10)",1.0,0.3036840603689602,Approx,0.08791208791208792,0.022727272727272724,4
"(200,10)",1.0,0.40225741150852384,Data Splitting,0.05405405405405406,0.0,2
"(200,10)",0.0,0.25043815625733834,Naive,0.10526315789473684,0.05405405405405406,4
"(200,10)",0.8,0.3528632897269022,Approx,0.14634146341463414,0.02702702702702703,10
"(200,10)",1.0,0.3000488695028742,Data Splitting,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.6666666666666666,0.23828044541608598,Naive,0.125,0.06451612903225806,6
"(200,10)",1.0,0.3036385153839768,Approx,0.19999999999999998,0.0,10
"(200,10)",1.0,0.3994889010792594,Data Splitting,0.0,0.0,2
"(200,10)",1.0,0.24615927218882327,Naive,0.09756097560975609,0.05,2
"(200,10)",1.0,0.3580409739818635,Approx,0.17777777777777778,0.0,6
"(200,10)",1.0,0.41406942709243355,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.26023643352267134,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.3325681652144695,Approx,0.125,0.02197802197802198,6
"(200,10)",1.0,0.3377131901561462,Data Splitting,0.08163265306122448,0.0,2
"(200,10)",0.0,0.30801255231096153,Naive,0.08163265306122448,0.04166666666666667,2
"(200,10)",1.0,0.4053285432538161,Approx,0.08163265306122448,0.04166666666666667,2
"(200,10)",1.0,0.3468329167549216,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.23748351393557038,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.33604530214034845,Approx,0.0851063829787234,0.02197802197802198,4
"(200,10)",1.0,0.33420492273209146,Data Splitting,0.0851063829787234,0.0,4
"(200,10)",0.0,0.2587732671425109,Naive,0.0851063829787234,0.04347826086956522,4
"(200,10)",1.0,0.33347325668769406,Approx,0.125,0.0,6
"(200,10)",1.0,0.39377570726455696,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.25383015001751863,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.8,0.3374459610353322,Approx,0.19999999999999998,0.02197802197802198,10
"(200,10)",0.5,0.428095930986665,Data Splitting,0.08602150537634408,0.02222222222222222,4
"(200,10)",0.0,0.3040370486666393,Naive,0.04395604395604395,0.02222222222222222,2
"(200,10)",0.75,0.3566107766199562,Approx,0.16494845360824742,0.02222222222222222,8
"(200,10)",1.0,0.3217175698713627,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.24780605767803285,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.3425605474724613,Approx,0.0851063829787234,0.0,4
"(200,10)",1.0,0.3712754331007759,Data Splitting,0.0,0.0,2
"(200,10)",1.0,0.21339278621655888,Naive,0.0689655172413793,0.03508771929824561,2
"(200,10)",1.0,0.3544501705495392,Approx,0.18181818181818182,0.0,10
"(200,10)",1.0,0.37545601714573096,Data Splitting,0.05405405405405406,0.0,2
"(200,10)",0.0,0.27016870556147926,Naive,0.05405405405405406,0.0273972602739726,2
"(200,10)",0.6666666666666666,0.3576624616453936,Approx,0.10256410256410256,0.02702702702702703,6
"(200,10)",1.0,0.34374753705976424,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.264783856027298,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.31106802892452506,Approx,0.125,0.02197802197802198,6
"(200,10)",0.0,0.3689608809953409,Data Splitting,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.0,0.24237541883279734,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.3117168251261797,Approx,0.125,0.0,6
"(200,10)",1.0,0.3378691797871269,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.23994655657678682,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.30407905626257814,Approx,0.0851063829787234,0.02197802197802198,4
"(200,10)",1.0,0.4165623195966874,Data Splitting,0.0449438202247191,0.022727272727272724,2
"(200,10)",0.0,0.2735011064431887,Naive,0.0449438202247191,0.022727272727272724,2
"(200,10)",0.8,0.36825938314183704,Approx,0.20618556701030927,0.0449438202247191,10
"(200,10)",1.0,0.39599404062573995,Data Splitting,0.05405405405405406,0.0,2
"(200,10)",0.0,0.29152683336746654,Naive,0.05405405405405406,0.0273972602739726,2
"(200,10)",1.0,0.3698215491985076,Approx,0.15,0.0273972602739726,8
"(200,10)",1.0,0.3741304121345521,Data Splitting,0.04395604395604395,0.0,2
"(200,10)",0.0,0.24624410211401368,Naive,0.04395604395604395,0.02222222222222222,2
"(200,10)",0.75,0.33913365612692653,Approx,0.16494845360824742,0.04395604395604395,8
"(400,20)",1.0,0.2203661809179273,Data Splitting,0.010471204188481674,0.005249343832020998,2
"(400,20)",0.25,0.17832028518816556,Naive,0.041237113402061855,0.020833333333333332,8
"(400,20)",1.0,0.2203037029463646,Approx,0.061224489795918366,0.01566579634464752,12
"(400,20)",1.0,0.23660780581449722,Data Splitting,0.020833333333333332,0.0,4
"(400,20)",1.0,0.17702524868662883,Naive,0.020833333333333332,0.010471204188481674,4
"(400,20)",1.0,0.24896386077766966,Approx,0.10945273631840796,0.0,22
"(400,20)",1.0,0.2594992463093606,Data Splitting,0.010526315789473682,0.0,2
"(400,20)",1.0,0.1703033372709394,Naive,0.010526315789473682,0.005277044854881266,2
"(400,20)",1.0,0.2479589799859938,Approx,0.03125,0.0,6
"(400,20)",1.0,0.23386493361188154,Data Splitting,0.010471204188481674,0.0,2
"(400,20)",0.6666666666666666,0.17047598010712686,Naive,0.031088082901554404,0.01566579634464752,6
"(400,20)",0.8888888888888888,0.2456473177375831,Approx,0.09045226130653267,0.01566579634464752,18
"(400,20)",1.0,0.25137537451022074,Data Splitting,0.011627906976744186,0.0,2
"(400,20)",0.0,0.1826528997214743,Naive,0.011627906976744186,0.005830903790087463,2
"(400,20)",1.0,0.227072841298859,Approx,0.034482758620689655,0.0,6
"(400,20)",1.0,0.25877224460086,Data Splitting,0.020833333333333332,0.0,4
"(400,20)",1.0,0.18655572143228932,Naive,0.010471204188481674,0.005249343832020998,2
"(400,20)",1.0,0.24074783711575556,Approx,0.05128205128205127,0.005249343832020998,10
"(400,20)",1.0,0.24274227386573408,Data Splitting,0.0,0.0,2
"(400,20)",1.0,0.1783730854542081,Naive,0.021052631578947368,0.010582010582010583,2
"(400,20)",1.0,0.26032180297518226,Approx,0.0606060606060606,0.0,10
"(400,20)",1.0,0.25779237785483233,Data Splitting,0.04395604395604395,0.0111731843575419,4
"(400,20)",0.0,0.17078257223915677,Naive,0.02222222222222222,0.0111731843575419,2
"(400,20)",1.0,0.21139966302080473,Approx,0.06451612903225806,0.0111731843575419,8
"(400,20)",1.0,0.2510389532610037,Data Splitting,0.010471204188481674,0.005249343832020998,2
"(400,20)",1.0,0.17356703066409673,Naive,0.010471204188481674,0.005249343832020998,2
"(400,20)",1.0,0.2393304058968024,Approx,0.061224489795918366,0.005249343832020998,12
"(400,20)",1.0,0.2912632362194685,Data Splitting,0.011661807580174927,0.0,2
"(400,20)",0.6666666666666666,0.1791756608932631,Naive,0.0345821325648415,0.017441860465116282,6
"(400,20)",1.0,0.24576712371983112,Approx,0.0896358543417367,0.011661807580174927,16
"(400,20)",1.0,0.282398910594686,Data Splitting,0.011627906976744186,0.005830903790087463,2
"(400,20)",0.0,0.19583370881915768,Naive,0.011627906976744186,0.005830903790087463,2
"(400,20)",1.0,0.24528613353047005,Approx,0.056818181818181816,0.0,10
"(400,20)",0.0,0.29059177771020694,Data Splitting,0.011627906976744186,0.005830903790087463,2
"(400,20)",0.5,0.18262793063368468,Naive,0.023121387283236997,0.011627906976744186,4
"(400,20)",0.8,0.21636146795345454,Approx,0.056818181818181816,0.017391304347826087,10
"(400,20)",1.0,0.257283561842646,Data Splitting,0.012987012987012988,0.0,2
"(400,20)",1.0,0.17085026061572067,Naive,0.012987012987012988,0.006514657980456026,2
"(400,20)",1.0,0.21701246328873222,Approx,0.075,0.012987012987012988,14
"(400,20)",1.0,0.24110578993061232,Data Splitting,0.010471204188481674,0.0,2
"(400,20)",1.0,0.17465665895162222,Naive,0.010471204188481674,0.005249343832020998,2
"(400,20)",1.0,0.22991775458728034,Approx,0.061224489795918366,0.005249343832020998,12
"(400,20)",1.0,0.23375094978563943,Data Splitting,0.010471204188481674,0.0,2
"(400,20)",0.0,0.1832213475404601,Naive,0.020833333333333332,0.010471204188481674,4
"(400,20)",0.6666666666666666,0.23451339435287896,Approx,0.061224489795918366,0.01566579634464752,12
"(400,20)",1.0,0.2706148526857376,Data Splitting,0.010471204188481674,0.0,2
"(400,20)",0.5,0.18100921353461769,Naive,0.020833333333333332,0.010471204188481674,4
"(400,20)",1.0,0.26544492877143877,Approx,0.041237113402061855,0.0,8
"(400,20)",1.0,0.2620567678213351,Data Splitting,0.011627906976744186,0.005830903790087463,2
"(400,20)",0.3333333333333333,0.18617620434086304,Naive,0.034482758620689655,0.017391304347826087,6
"(400,20)",1.0,0.24800364641478387,Approx,0.07865168539325842,0.011627906976744186,14
"(400,20)",1.0,0.24649099870279645,Data Splitting,0.010471204188481674,0.005249343832020998,2
"(400,20)",0.0,0.17421077713945543,Naive,0.020833333333333332,0.010471204188481674,4
"(400,20)",0.6666666666666666,0.2438972212962215,Approx,0.09045226130653267,0.020833333333333332,18
"(400,20)",1.0,0.2618580343809855,Data Splitting,0.0,0.0,4
"(400,20)",0.5,0.19314549042455387,Naive,0.037558685446009384,0.01895734597156398,4
"(400,20)",0.8,0.2627056306043133,Approx,0.06986899563318777,0.018867924528301883,20
"(400,20)",0.6666666666666666,0.26377122327567865,Data Splitting,0.0345821325648415,0.005847953216374269,6
"(400,20)",0.75,0.1793638223977827,Naive,0.045845272206303724,0.02318840579710145,8
"(400,20)",1.0,0.24426672892616624,Approx,0.110803324099723,0.02318840579710145,20
"(400,20)",1.0,0.26570853952407686,Data Splitting,0.011627906976744186,0.0,2
"(400,20)",0.0,0.1784712199210133,Naive,0.011627906976744186,0.005830903790087463,2
"(400,20)",1.0,0.2355014345862733,Approx,0.045714285714285714,0.011627906976744186,8
"(400,20)",1.0,0.2530469211199345,Data Splitting,0.037037037037037035,0.009389671361502346,4
"(400,20)",1.0,0.18213951431887837,Naive,0.018691588785046728,0.009389671361502346,2
"(400,20)",1.0,0.24222201711341357,Approx,0.09009009009009009,0.018691588785046728,10
"(400,20)",1.0,0.24603420054850014,Data Splitting,0.010471204188481674,0.005249343832020998,2
"(400,20)",0.0,0.18103698317787312,Naive,0.010471204188481674,0.005249343832020998,2
"(400,20)",1.0,0.2311340888839992,Approx,0.08080808080808081,0.010471204188481674,16
"(400,20)",1.0,0.23694801926729953,Data Splitting,0.010471204188481674,0.0,2
"(400,20)",1.0,0.1823032939611765,Naive,0.010471204188481674,0.005249343832020998,2
"(400,20)",1.0,0.2317785262742994,Approx,0.041237113402061855,0.005249343832020998,8
"(400,20)",1.0,0.2548705777849074,Data Splitting,0.012903225806451613,0.0,2
"(400,20)",0.5,0.18595328129811414,Naive,0.025641025641025647,0.012903225806451613,4
"(400,20)",0.8888888888888888,0.258631253100537,Approx,0.11042944785276072,0.012903225806451613,18
"(400,20)",1.0,0.24954396395555398,Data Splitting,0.010471204188481674,0.005249343832020998,2
"(400,20)",0.0,0.1853475068801105,Naive,0.020833333333333332,0.010471204188481674,4
"(400,20)",1.0,0.23050912564525286,Approx,0.05128205128205127,0.010471204188481674,10
"(400,20)",1.0,0.2578050736079641,Data Splitting,0.011627906976744186,0.0,2
"(400,20)",0.0,0.1809682962499196,Naive,0.011627906976744186,0.005830903790087463,2
"(400,20)",1.0,0.23152825589081805,Approx,0.011627906976744186,0.0,2
"(400,20)",1.0,0.26876690112339113,Data Splitting,0.010498687664041993,0.005263157894736842,2
"(400,20)",0.5,0.173280969263461,Naive,0.020887728459530026,0.010498687664041993,4
"(400,20)",1.0,0.22571943648643508,Approx,0.05141388174807199,0.005263157894736842,10
"(400,20)",1.0,0.26683931762388796,Data Splitting,0.010498687664041993,0.0,2
"(400,20)",0.0,0.1792249570000669,Naive,0.020887728459530026,0.010498687664041993,4
"(400,20)",0.6666666666666666,0.22369309003212276,Approx,0.0906801007556675,0.015706806282722516,18
"(400,20)",1.0,0.2406462053147403,Data Splitting,0.013071895424836602,0.0,2
"(400,20)",0.5,0.16233276451566497,Naive,0.025974025974025976,0.013071895424836602,4
"(400,20)",1.0,0.24335841444299788,Approx,0.03846153846153846,0.0,8
"(1000,50)",1.0,0.15841105048287296,Data Splitting,0.0033305578684429643,0.0016666666666666666,2
"(1000,50)",0.8,0.10689140496665768,Naive,0.016542597187758478,0.00830564784053156,10
"(1000,50)",0.9473684210526315,0.14616569656340186,Approx,0.045270816491511726,0.00830564784053156,38
"(1000,50)",1.0,0.158920529328963,Data Splitting,0.0034453057708871667,0.0017241379310344827,2
"(1000,50)",1.0,0.10902460952201806,Naive,0.01710863986313088,0.00859106529209622,10
"(1000,50)",1.0,0.15876767614413392,Approx,0.027004219409282704,0.013710368466152529,26
"(1000,50)",1.0,0.1582408966469838,Data Splitting,0.007048458149779735,0.0035304501323918797,4
"(1000,50)",0.7142857142857143,0.10913826909885908,Naive,0.02445414847161572,0.012302284710017574,14
"(1000,50)",0.9523809523809523,0.1517767474023132,Approx,0.0545609548167093,0.014047410008779631,42
"(1000,50)",1.0,0.15033396149343753,Data Splitting,0.0033305578684429643,0.0016666666666666666,2
"(1000,50)",0.6,0.10794841429609,Naive,0.016542597187758478,0.00830564784053156,10
"(1000,50)",0.9545454545454546,0.14857947238523425,Approx,0.057924376508447305,0.011608623548922056,44
"(1000,50)",1.0,0.1591613787144686,Data Splitting,0.0048134777376654635,0.0024096385542168672,2
"(1000,50)",1.0,0.10921346953367968,Naive,0.014371257485029942,0.007211538461538462,6
"(1000,50)",0.9473684210526315,0.14651442736594117,Approx,0.05536332179930796,0.014371257485029942,38
"(1000,50)",1.0,0.1630613433986195,Data Splitting,0.004975124378109453,0.0,2
"(1000,50)",0.6,0.11250098942283301,Naive,0.024630541871921183,0.012391573729863695,10
"(1000,50)",0.9166666666666666,0.14406599645925613,Approx,0.043583535108958835,0.009925558312655087,24
"(1000,50)",0.0,0.1760392244184348,Data Splitting,0.0043907793633369925,0.002197802197802198,2
"(1000,50)",0.8,0.11121876331862479,Naive,0.02176278563656148,0.010940919037199124,10
"(1000,50)",1.0,0.15284648213312735,Approx,0.042780748663101616,0.010940919037199124,26
"(1000,50)",1.0,0.16204441485686136,Data Splitting,0.005571030640668524,0.002789400278940028,2
"(1000,50)",0.6666666666666666,0.11141734893328492,Naive,0.03296703296703297,0.016620498614958446,12
"(1000,50)",1.0,0.1500198634758685,Approx,0.05898123324396782,0.02482758620689655,30
"(1000,50)",1.0,0.16081017724282387,Data Splitting,0.010840108401084009,0.005434782608695652,2
"(1000,50)",0.75,0.1126745336192634,Naive,0.0731070496083551,0.037333333333333336,16
"(1000,50)",0.8461538461538461,0.14637253479177204,Approx,0.07124681933842239,0.026881720430107524,26
"(1000,50)",1.0,0.16700209122426138,Data Splitting,0.004645760743321719,0.002325581395348837,2
"(1000,50)",0.8333333333333334,0.10980376556876126,Naive,0.027554535017221583,0.013872832369942197,12
"(1000,50)",0.95,0.15597175536130864,Approx,0.06229143492769744,0.016166281755196302,40
"(1000,50)",1.0,0.1653887150680269,Data Splitting,0.0028328611898017003,0.0,2
"(1000,50)",0.5,0.1108693946302265,Naive,0.016877637130801686,0.008474576271186442,12
"(1000,50)",0.85,0.15709971209686338,Approx,0.05241379310344828,0.012684989429175475,40
"(1000,50)",1.0,0.14917564362428531,Data Splitting,0.0037243947858473,0.0018674136321195146,4
"(1000,50)",0.6666666666666666,0.1064120349791489,Naive,0.011152416356877321,0.0055917986952469705,6
"(1000,50)",1.0,0.14091283426425333,Approx,0.029197080291970805,0.009302325581395347,26
"(1000,50)",1.0,0.15346619847593052,Data Splitting,0.010554089709762531,0.005291005291005291,4
"(1000,50)",0.5,0.10888824320658452,Naive,0.031331592689295036,0.015789473684210527,12
"(1000,50)",0.782608695652174,0.1524101466209713,Approx,0.07500000000000001,0.01834862385321101,46
"(1000,50)",1.0,0.15272224573903673,Data Splitting,0.005102040816326531,0.002554278416347382,4
"(1000,50)",1.0,0.10866431702840951,Naive,0.012706480304955527,0.006373486297004461,10
