"n,p",coverage rate,avg length,method,F1 score,F1 score (post inf),E size,Cond. power,FDP
"(200,10)",1.0,0.5021321535943771,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",0.0,0.2597476623251942,Naive,0.04347826086956522,0.02197802197802198,2,0.0,0.0
"(200,10)",0.8,0.362812604685543,Approx,0.19999999999999998,0.02197802197802198,10,0.1,0.0
"(200,10)",1.0,0.45087269106595207,Data Splitting,0.05479452054794521,0.02777777777777778,2,0.5,0.0
"(200,10)",0.0,0.2874611363091763,Naive,0.05479452054794521,0.02777777777777778,2,0.5,0.0
"(200,10)",0.6666666666666666,0.35864940801862216,Approx,0.15584415584415587,0.02777777777777778,6,0.16666666666666666,0.0
"(200,10)",1.0,0.3464939140290233,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",0.5,0.23815920213467384,Naive,0.0851063829787234,0.04347826086956522,4,0.0,0.0
"(200,10)",1.0,0.3712323157231854,Approx,0.163265306122449,0.0,8,0.0,0.0
"(200,10)",1.0,0.3717852090336755,Data Splitting,0.04395604395604395,0.0,2,0.5,0.0
"(200,10)",1.0,0.2829956984245058,Naive,0.04395604395604395,0.02222222222222222,2,0.0,0.0
"(200,10)",1.0,0.34704146179714357,Approx,0.16494845360824742,0.0,8,0.0,0.0
"(200,10)",1.0,0.3826074983527053,Data Splitting,0.0689655172413793,0.0,2,0.5,0.0
"(200,10)",0.5,0.26395953753163437,Naive,0.13333333333333333,0.0689655172413793,4,0.0,0.0
"(200,10)",1.0,0.3586248880094116,Approx,0.19354838709677416,0.0,6,0.0,0.0
"(200,10)",1.0,0.3839070485942646,Data Splitting,0.05555555555555556,0.0,2,0.5,0.0
"(200,10)",1.0,0.24551163403258902,Naive,0.05555555555555556,0.028169014084507043,2,0.0,0.0
"(200,10)",1.0,0.3251758080686028,Approx,0.08108108108108107,0.028169014084507043,4,0.3333333333333333,0.0
"(200,10)",1.0,0.3287652214427552,Data Splitting,0.08791208791208792,0.0,4,0.5,0.0
"(200,10)",1.0,0.26021666672934607,Naive,0.0449438202247191,0.022727272727272724,2,0.0,0.0
"(200,10)",1.0,0.3340614053760369,Approx,0.16842105263157897,0.022727272727272724,8,0.125,0.0
"(200,10)",1.0,0.41983233901884176,Data Splitting,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",0.0,0.27827049822596617,Naive,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",0.75,0.36136524208310883,Approx,0.163265306122449,0.02197802197802198,8,0.125,0.0
"(200,10)",1.0,0.36107426699242273,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",0.0,0.2420968499361185,Naive,0.0851063829787234,0.04347826086956522,4,0.0,0.0
"(200,10)",0.6,0.3572340941273014,Approx,0.19999999999999998,0.02197802197802198,10,0.1,0.0
"(200,10)",1.0,0.3569121302597654,Data Splitting,0.0851063829787234,0.0,4,0.5,0.0
"(200,10)",1.0,0.25565605880285863,Naive,0.04347826086956522,0.02197802197802198,2,0.0,0.0
"(200,10)",1.0,0.342804363559745,Approx,0.163265306122449,0.0,8,0.0,0.0
"(200,10)",1.0,0.3466855470702221,Data Splitting,0.05405405405405406,0.0,2,0.5,0.0
"(200,10)",0.5,0.24170581208361652,Naive,0.10526315789473684,0.05405405405405406,4,0.0,0.0
"(200,10)",0.6666666666666666,0.2931339285738204,Approx,0.15384615384615385,0.0273972602739726,6,0.16666666666666666,0.0
"(200,10)",1.0,0.38012789493860577,Data Splitting,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",0.0,0.2593367081708454,Naive,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",1.0,0.31903472493424045,Approx,0.0851063829787234,0.02197802197802198,4,0.25,0.0
"(200,10)",1.0,0.32845251581680845,Data Splitting,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",0.0,0.27006338049083717,Naive,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",1.0,0.3288871532022138,Approx,0.125,0.02197802197802198,6,0.16666666666666666,0.0
"(200,10)",1.0,0.36448911902152936,Data Splitting,0.044444444444444446,0.02247191011235955,2,0.5,0.0
"(200,10)",0.0,0.24929877180784316,Naive,0.08695652173913045,0.044444444444444446,4,0.5,0.0
"(200,10)",0.6666666666666666,0.3421676243459683,Approx,0.1276595744680851,0.02247191011235955,6,0.16666666666666666,0.0
"(200,10)",1.0,0.37817131876738963,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",1.0,0.2415051576259028,Naive,0.0851063829787234,0.04347826086956522,4,0.0,0.0
"(200,10)",1.0,0.3114952539169499,Approx,0.23529411764705882,0.02197802197802198,12,0.08333333333333333,0.0
"(200,10)",1.0,0.41723905428283825,Data Splitting,0.044444444444444446,0.02247191011235955,2,0.5,0.0
"(200,10)",0.0,0.2805002521232284,Naive,0.044444444444444446,0.02247191011235955,2,0.5,0.0
"(200,10)",0.75,0.3720537381446514,Approx,0.16666666666666669,0.0,8,0.0,0.0
"(200,10)",1.0,0.4027115134975204,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",1.0,0.29621070951385253,Naive,0.04347826086956522,0.02197802197802198,2,0.0,0.0
"(200,10)",1.0,0.3352766041992247,Approx,0.23529411764705882,0.0,12,0.0,0.0
"(200,10)",1.0,0.31812454293728787,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",0.0,0.2491810679651056,Naive,0.04347826086956522,0.02197802197802198,2,0.0,0.0
"(200,10)",1.0,0.3180303787137366,Approx,0.0851063829787234,0.0,4,0.0,0.0
"(200,10)",1.0,0.35936371215257196,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",0.0,0.3110037016088335,Naive,0.04347826086956522,0.02197802197802198,2,0.0,0.0
"(200,10)",0.8571428571428571,0.3705350307058441,Approx,0.2692307692307693,0.02197802197802198,14,0.07142857142857142,0.0
"(200,10)",1.0,0.3481963096511891,Data Splitting,0.05405405405405406,0.0,2,0.5,0.0
"(200,10)",1.0,0.243672654986813,Naive,0.05405405405405406,0.0273972602739726,2,0.0,0.0
"(200,10)",1.0,0.31633426550637656,Approx,0.05405405405405406,0.0,2,0.0,0.0
"(200,10)",1.0,0.31845540703277964,Data Splitting,0.0449438202247191,0.0,2,0.5,0.0
"(200,10)",1.0,0.21328602531478225,Naive,0.0449438202247191,0.022727272727272724,2,0.0,0.0
"(200,10)",1.0,0.29515848700729985,Approx,0.0449438202247191,0.0,2,0.0,0.0
"(200,10)",1.0,0.409664699554962,Data Splitting,0.04395604395604395,0.02222222222222222,2,0.5,0.0
"(200,10)",0.0,0.26894050954252197,Naive,0.04395604395604395,0.02222222222222222,2,0.5,0.0
"(200,10)",0.3333333333333333,0.33662022620497695,Approx,0.12631578947368421,0.02222222222222222,6,0.16666666666666666,0.0
"(200,10)",1.0,0.41733896849538493,Data Splitting,0.05405405405405406,0.0273972602739726,2,0.5,0.0
"(200,10)",1.0,0.2741699393918241,Naive,0.10526315789473684,0.05405405405405406,4,0.5,0.0
"(200,10)",1.0,0.3367512909290701,Approx,0.10526315789473684,0.0273972602739726,4,0.25,0.0
"(200,10)",1.0,0.34427158807386204,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",1.0,0.25825603499682614,Naive,0.04347826086956522,0.02197802197802198,2,0.0,0.0
"(200,10)",1.0,0.32514599658690263,Approx,0.0851063829787234,0.0,4,0.0,0.0
"(200,10)",1.0,0.4703583573321628,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",0.5,0.253586859493144,Naive,0.0851063829787234,0.04347826086956522,4,0.0,0.0
"(200,10)",1.0,0.31484306845142507,Approx,0.163265306122449,0.0,8,0.0,0.0
"(200,10)",1.0,0.38978518394840783,Data Splitting,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",0.0,0.28590633727730996,Naive,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",1.0,0.37812484538876157,Approx,0.163265306122449,0.02197802197802198,8,0.125,0.0
"(200,10)",1.0,0.36641487233179615,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",0.0,0.26237291369973126,Naive,0.0851063829787234,0.04347826086956522,4,0.0,0.0
"(200,10)",1.0,0.3592568494664339,Approx,0.125,0.0,6,0.0,0.0
"(200,10)",1.0,0.37326959727950276,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",0.0,0.24675655367848126,Naive,0.04347826086956522,0.02197802197802198,2,0.0,0.0
"(200,10)",1.0,0.29488646990773537,Approx,0.125,0.02197802197802198,6,0.16666666666666666,0.0
"(200,10)",0.5,0.36512313647400485,Data Splitting,0.10526315789473684,0.0273972602739726,4,0.5,0.0
"(200,10)",0.0,0.2508958446482268,Naive,0.10526315789473684,0.05405405405405406,4,0.25,0.0
"(200,10)",1.0,0.3118002423625783,Approx,0.15,0.05405405405405406,8,0.3333333333333333,0.0
"(200,10)",1.0,0.37649401124569415,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",0.5,0.27486805401683406,Naive,0.0851063829787234,0.04347826086956522,4,0.0,0.0
"(200,10)",0.8333333333333334,0.337133271841872,Approx,0.23529411764705882,0.02197802197802198,12,0.08333333333333333,0.0
"(200,10)",1.0,0.408429223155798,Data Splitting,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",0.0,0.26546382462248186,Naive,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",1.0,0.32920786941386987,Approx,0.23529411764705882,0.02197802197802198,12,0.08333333333333333,0.0
"(200,10)",1.0,0.3889557809403423,Data Splitting,0.0851063829787234,0.02197802197802198,4,0.5,0.0
"(200,10)",0.0,0.2658369778903918,Naive,0.04347826086956522,0.02197802197802198,2,0.25,0.0
"(200,10)",1.0,0.3846251492774872,Approx,0.23529411764705882,0.0,12,0.0,0.0
"(200,10)",1.0,0.3572070168611345,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",0.0,0.25919469227222747,Naive,0.04347826086956522,0.02197802197802198,2,0.0,0.0
"(200,10)",0.6666666666666666,0.3175934586196559,Approx,0.125,0.04347826086956522,6,0.3333333333333333,0.0
"(200,10)",1.0,0.32261271881706377,Data Splitting,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",0.0,0.2551926186352296,Naive,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",1.0,0.3308381689062711,Approx,0.163265306122449,0.02197802197802198,8,0.125,0.0
"(200,10)",1.0,0.3798656822942995,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",0.0,0.26076276497596246,Naive,0.0851063829787234,0.04347826086956522,4,0.0,0.0
"(200,10)",0.6666666666666666,0.33405920029839664,Approx,0.125,0.02197802197802198,6,0.16666666666666666,0.0
"(200,10)",1.0,0.37712911998848886,Data Splitting,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",0.3333333333333333,0.24990568058992146,Naive,0.125,0.06451612903225806,6,0.5,0.0
"(200,10)",1.0,0.3425675982432256,Approx,0.19999999999999998,0.06451612903225806,10,0.3,0.0
"(200,10)",1.0,0.35635602230042623,Data Splitting,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",1.0,0.25225541975195176,Naive,0.0851063829787234,0.04347826086956522,4,0.5,0.0
"(200,10)",1.0,0.33394474652155565,Approx,0.19999999999999998,0.02197802197802198,10,0.1,0.0
"(200,10)",1.0,0.3008512574391123,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",0.5,0.2585330580525811,Naive,0.0851063829787234,0.04347826086956522,4,0.0,0.0
"(200,10)",0.8,0.3861893999040403,Approx,0.19999999999999998,0.02197802197802198,10,0.1,0.0
"(200,10)",1.0,0.36775677576202503,Data Splitting,0.0851063829787234,0.02197802197802198,4,0.5,0.0
"(200,10)",0.0,0.25921114975965753,Naive,0.04347826086956522,0.02197802197802198,2,0.25,0.0
"(200,10)",1.0,0.30893396563025466,Approx,0.0851063829787234,0.02197802197802198,4,0.25,0.0
"(200,10)",1.0,0.3645429448748051,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",0.0,0.21516851439844403,Naive,0.04347826086956522,0.02197802197802198,2,0.0,0.0
"(200,10)",1.0,0.33400122650234093,Approx,0.125,0.0,6,0.0,0.0
"(200,10)",1.0,0.386078396697497,Data Splitting,0.0851063829787234,0.02197802197802198,4,0.5,0.0
"(200,10)",0.5,0.23915618418673595,Naive,0.0851063829787234,0.04347826086956522,4,0.25,0.0
"(200,10)",1.0,0.34315187534949654,Approx,0.19999999999999998,0.02197802197802198,10,0.1,0.0
"(200,10)",1.0,0.375859447894589,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",0.0,0.2507441835805111,Naive,0.04347826086956522,0.02197802197802198,2,0.0,0.0
"(200,10)",1.0,0.3241448782841989,Approx,0.04347826086956522,0.0,2,0.0,0.0
"(200,10)",1.0,0.3771256718524641,Data Splitting,0.04395604395604395,0.0,2,0.5,0.0
"(200,10)",0.0,0.30375864671607433,Naive,0.04395604395604395,0.02222222222222222,2,0.0,0.0
"(200,10)",1.0,0.39975415405022713,Approx,0.23762376237623764,0.02222222222222222,12,0.08333333333333333,0.0
"(200,10)",1.0,0.3785113288548114,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",0.0,0.2780909742369337,Naive,0.04347826086956522,0.02197802197802198,2,0.0,0.0
"(200,10)",1.0,0.35224903585623646,Approx,0.125,0.02197802197802198,6,0.16666666666666666,0.0
"(200,10)",1.0,0.40671828097562246,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",0.5,0.2608478786150694,Naive,0.0851063829787234,0.04347826086956522,4,0.0,0.0
"(200,10)",0.6666666666666666,0.3583699777955976,Approx,0.23529411764705882,0.0851063829787234,12,0.3333333333333333,0.0
"(200,10)",1.0,0.3829207646443335,Data Splitting,0.04395604395604395,0.02222222222222222,2,0.5,0.0
"(200,10)",1.0,0.25366116716748055,Naive,0.04395604395604395,0.02222222222222222,2,0.5,0.0
"(200,10)",0.6,0.34084130304337,Approx,0.20202020202020202,0.02222222222222222,10,0.1,0.0
"(200,10)",1.0,0.31429159928533634,Data Splitting,0.04395604395604395,0.0,2,0.5,0.0
"(200,10)",0.0,0.24793421308118554,Naive,0.04395604395604395,0.02222222222222222,2,0.0,0.0
"(200,10)",0.875,0.3593627262229572,Approx,0.30476190476190473,0.0,16,0.0,0.0
"(200,10)",1.0,0.3582073684562463,Data Splitting,0.04347826086956522,0.0,2,0.5,0.0
"(200,10)",1.0,0.2631693025547278,Naive,0.0851063829787234,0.04347826086956522,4,0.0,0.0
"(200,10)",0.8333333333333334,0.35411223658567687,Approx,0.23529411764705882,0.0,12,0.0,0.0
"(200,10)",0.5,0.38099964620939714,Data Splitting,0.0851063829787234,0.04347826086956522,4,0.5,0.0
"(200,10)",0.0,0.2731259967782329,Naive,0.0851063829787234,0.04347826086956522,4,0.5,0.0
"(200,10)",1.0,0.31808160933220536,Approx,0.125,0.04347826086956522,6,0.3333333333333333,0.0
"(200,10)",0.0,0.4200947982831821,Data Splitting,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",0.0,0.2968426062024139,Naive,0.04347826086956522,0.02197802197802198,2,0.5,0.0
"(200,10)",0.5,0.2962216329957539,Approx,0.0851063829787234,0.02197802197802198,4,0.25,0.0
"(400,20)",1.0,0.2594249912695037,Data Splitting,0.023121387283236997,0.005830903790087463,4,0.5,0.0
"(400,20)",0.6,0.18620700910708285,Naive,0.056818181818181816,0.02881844380403458,10,0.25,0.0
"(400,20)",0.7142857142857143,0.24595049495555557,Approx,0.07865168539325842,0.017391304347826087,14,0.21428571428571427,0.0
"(400,20)",1.0,0.2527812996647344,Data Splitting,0.010471204188481674,0.005249343832020998,2,0.5,0.0
"(400,20)",0.0,0.18655596270889116,Naive,0.010471204188481674,0.005249343832020998,2,0.5,0.0
"(400,20)",1.0,0.2282813649011662,Approx,0.05128205128205127,0.005249343832020998,10,0.1,0.0
"(400,20)",1.0,0.22824617792487806,Data Splitting,0.012987012987012988,0.006514657980456026,2,0.5,0.0
"(400,20)",1.0,0.1814463513755378,Naive,0.02580645161290323,0.012987012987012988,4,0.5,0.0
"(400,20)",0.8,0.22543957798265574,Approx,0.05063291139240506,0.012944983818770227,10,0.25,0.33333333333333337
"(400,20)",1.0,0.26629147638197426,Data Splitting,0.020833333333333332,0.005249343832020998,4,0.5,0.0
"(400,20)",0.5,0.18275091851698178,Naive,0.041237113402061855,0.020833333333333332,8,0.25,0.0
"(400,20)",0.625,0.24235309570498045,Approx,0.08080808080808081,0.010471204188481674,16,0.125,0.0
"(400,20)",1.0,0.2572265697862344,Data Splitting,0.01652892561983471,0.0,2,0.5,0.0
"(400,20)",0.5,0.1840164843665129,Naive,0.03278688524590164,0.01652892561983471,4,0.0,0.0
"(400,20)",0.7142857142857143,0.24605369222282308,Approx,0.07874015748031496,0.008264462809917356,14,0.1,0.5
"(400,20)",0.5,0.27199591958412705,Data Splitting,0.020833333333333332,0.005249343832020998,4,0.5,0.0
"(400,20)",0.5,0.17285186389721163,Naive,0.020833333333333332,0.010471204188481674,4,0.25,0.0
"(400,20)",1.0,0.23405502908389778,Approx,0.061224489795918366,0.005249343832020998,12,0.08333333333333333,0.0
"(400,20)",1.0,0.2513127206251251,Data Splitting,0.010471204188481674,0.0,2,0.5,0.0
"(400,20)",1.0,0.1757326811587072,Naive,0.010471204188481674,0.005249343832020998,2,0.0,0.0
"(400,20)",0.8333333333333334,0.24830990981797255,Approx,0.11881188118811882,0.005249343832020998,24,0.041666666666666664,0.0
"(400,20)",0.0,0.271965252574195,Data Splitting,0.010526315789473682,0.005277044854881266,2,0.5,0.0
"(400,20)",0.5,0.1851616580730089,Naive,0.02094240837696335,0.010526315789473682,4,0.5,0.0
"(400,20)",0.9,0.23747478609240194,Approx,0.10050251256281405,0.015748031496062992,20,0.15,0.0
"(400,20)",1.0,0.24536257381613275,Data Splitting,0.011627906976744186,0.005830903790087463,2,0.5,0.0
"(400,20)",0.0,0.1854565282801556,Naive,0.034482758620689655,0.017391304347826087,6,0.5,0.0
"(400,20)",1.0,0.24259600395242936,Approx,0.056818181818181816,0.017391304347826087,10,0.3,0.0
"(400,20)",0.0,0.27010752359435275,Data Splitting,0.024539877300613494,0.01234567901234568,2,0.5,0.0
"(400,20)",0.5,0.17675452173743791,Naive,0.04848484848484848,0.024539877300613494,4,0.5,0.0
"(400,20)",0.7692307692307693,0.25830828614840534,Approx,0.19251336898395724,0.01234567901234568,26,0.05555555555555555,0.0
"(400,20)",1.0,0.2604393006029223,Data Splitting,0.011627906976744186,0.0,2,0.5,0.0
"(400,20)",1.0,0.188759378266169,Naive,0.011627906976744186,0.005830903790087463,2,0.0,0.0
"(400,20)",0.75,0.2375067801495669,Approx,0.07821229050279328,0.011627906976744186,16,0.14285714285714285,0.0
"(400,20)",1.0,0.2524938129817507,Data Splitting,0.010471204188481674,0.005249343832020998,2,0.5,0.0
"(400,20)",0.0,0.18465777466976926,Naive,0.010471204188481674,0.005249343832020998,2,0.5,0.0
"(400,20)",0.9,0.24828146771735557,Approx,0.1,0.010471204188481674,20,0.1,0.0
"(400,20)",1.0,0.25880377283154954,Data Splitting,0.0345821325648415,0.005847953216374269,6,0.5,0.0
"(400,20)",0.6,0.17526676291790527,Naive,0.05698005698005699,0.028901734104046246,10,0.16666666666666666,0.0
"(400,20)",0.9,0.24059711740985673,Approx,0.110803324099723,0.028901734104046246,20,0.25,0.0
"(400,20)",1.0,0.2763974284891737,Data Splitting,0.011627906976744186,0.005830903790087463,2,0.5,0.0
"(400,20)",0.75,0.17987548217764965,Naive,0.045714285714285714,0.023121387283236997,8,0.5,0.0
"(400,20)",1.0,0.2447909992404218,Approx,0.12021857923497269,0.017391304347826087,24,0.13636363636363635,0.0
"(400,20)",1.0,0.2551715938329088,Data Splitting,0.012987012987012988,0.0,2,0.5,0.0
"(400,20)",1.0,0.18161862546629876,Naive,0.012987012987012988,0.006514657980456026,2,0.0,0.0
"(400,20)",1.0,0.2456205472154645,Approx,0.05063291139240506,0.006514657980456026,10,0.125,0.0
"(400,20)",1.0,0.2637539439798333,Data Splitting,0.010471204188481674,0.005249343832020998,2,0.5,0.0
"(400,20)",0.3333333333333333,0.1906499472755503,Naive,0.031088082901554404,0.01566579634464752,6,0.5,0.0
"(400,20)",0.9230769230769231,0.272874616790009,Approx,0.12807881773399016,0.01566579634464752,26,0.11538461538461539,0.0
"(400,20)",1.0,0.24054780407686782,Data Splitting,0.010471204188481674,0.005249343832020998,2,0.5,0.0
"(400,20)",1.0,0.1750889223563551,Naive,0.020833333333333332,0.010471204188481674,4,0.5,0.0
"(400,20)",1.0,0.23559623965535037,Approx,0.1,0.010471204188481674,20,0.1,0.0
"(400,20)",1.0,0.24116456251542648,Data Splitting,0.02094240837696335,0.0,4,0.5,0.0
"(400,20)",0.3333333333333333,0.18185179586535347,Naive,0.03125,0.015748031496062992,6,0.0,0.0
"(400,20)",1.0,0.24803431464087977,Approx,0.0909090909090909,0.0,18,0.0,0.0
"(400,20)",1.0,0.24585707643834023,Data Splitting,0.010471204188481674,0.0,2,0.5,0.0
"(400,20)",1.0,0.174632534375122,Naive,0.010471204188481674,0.005249343832020998,2,0.0,0.0
"(400,20)",0.3333333333333333,0.2401462757073539,Approx,0.031088082901554404,0.005249343832020998,6,0.16666666666666666,0.0
"(400,20)",1.0,0.26369762500276017,Data Splitting,0.010471204188481674,0.0,2,0.5,0.0
"(400,20)",1.0,0.176781219604905,Naive,0.010471204188481674,0.005249343832020998,2,0.0,0.0
"(400,20)",0.8333333333333334,0.21960214953587057,Approx,0.061224489795918366,0.005249343832020998,12,0.08333333333333333,0.0
"(400,20)",1.0,0.26399458751091676,Data Splitting,0.010471204188481674,0.005249343832020998,2,0.5,0.0
"(400,20)",0.0,0.18391164377932878,Naive,0.010471204188481674,0.005249343832020998,2,0.5,0.0
"(400,20)",0.8571428571428571,0.2394386175513639,Approx,0.07106598984771574,0.010471204188481674,14,0.14285714285714285,0.0
"(400,20)",1.0,0.274641796680153,Data Splitting,0.011661807580174927,0.005847953216374269,2,0.5,0.0
"(400,20)",1.0,0.19130342919844354,Naive,0.011661807580174927,0.005847953216374269,2,0.5,0.0
"(400,20)",0.8571428571428571,0.23519681978882007,Approx,0.07887323943661972,0.011661807580174927,14,0.14285714285714285,0.0
"(400,20)",1.0,0.2329741045775715,Data Splitting,0.011627906976744186,0.005830903790087463,2,0.5,0.0
"(400,20)",0.0,0.17883282683080015,Naive,0.023121387283236997,0.011627906976744186,4,0.5,0.0
"(400,20)",0.8,0.2428987435890008,Approx,0.045454545454545456,0.011627906976744186,10,0.25,0.0
"(400,20)",0.0,0.27323064379675144,Data Splitting,0.010471204188481674,0.005249343832020998,2,0.5,0.0
"(400,20)",0.5,0.1920844013339203,Naive,0.041237113402061855,0.020833333333333332,8,0.5,0.0
"(400,20)",0.7777777777777778,0.2526148193203981,Approx,0.09045226130653267,0.010471204188481674,18,0.1111111111111111,0.0
"(400,20)",1.0,0.24755533865990573,Data Splitting,0.010471204188481674,0.0,2,0.5,0.0
"(400,20)",0.5,0.17799815751055906,Naive,0.020833333333333332,0.010471204188481674,4,0.0,0.0
"(400,20)",1.0,0.2382555163268402,Approx,0.061224489795918366,0.010471204188481674,12,0.16666666666666666,0.0
"(400,20)",1.0,0.2663447748463963,Data Splitting,0.012903225806451613,0.006472491909385114,2,0.5,0.0
"(400,20)",0.0,0.1782029908551287,Naive,0.025641025641025647,0.012903225806451613,4,0.5,0.0
"(400,20)",1.0,0.23631006320475398,Approx,0.08641975308641976,0.012903225806451613,16,0.14285714285714285,0.0
"(400,20)",0.0,0.25433150571080493,Data Splitting,0.010471204188481674,0.0,2,0.5,0.0
"(400,20)",0.0,0.19342652131256854,Naive,0.010471204188481674,0.005249343832020998,2,0.0,0.0
"(400,20)",1.0,0.25927858351375116,Approx,0.061224489795918366,0.010471204188481674,12,0.16666666666666666,0.0
"(400,20)",1.0,0.27615302359597294,Data Splitting,0.010554089709762531,0.0,2,0.5,0.0
"(400,20)",1.0,0.18931997603140016,Naive,0.02099737532808399,0.010554089709762531,4,0.0,0.0
"(400,20)",1.0,0.23341720939759486,Approx,0.04155844155844156,0.005291005291005291,8,0.125,0.0
"(400,20)",0.5,0.2705675758426836,Data Splitting,0.020833333333333332,0.005249343832020998,4,0.5,0.0
"(400,20)",0.5,0.18393401582734548,Naive,0.020833333333333332,0.010471204188481674,4,0.25,0.0
"(400,20)",0.8,0.2269765386203088,Approx,0.05128205128205127,0.01566579634464752,10,0.3,0.0
"(400,20)",1.0,0.24806368935324602,Data Splitting,0.016260162601626018,0.0,2,0.5,0.0
"(400,20)",0.0,0.1823653891257527,Naive,0.048,0.0242914979757085,6,0.0,0.0
"(400,20)",1.0,0.24612220317168745,Approx,0.047619047619047616,0.00816326530612245,8,0.16666666666666666,0.0
