"n,p",coverage rate,avg length,method,F1 score,F1 score (post inf),E size,Cond. power,FDP
"(400,20)",1.0,0.2516025246707173,Data Splitting,0.012903225806451613,0.0,2,1.0,0.0
"(400,20)",0.6666666666666666,0.1758881495790845,Naive,0.03821656050955414,0.03821656050955414,6,0.0,0.0
"(400,20)",0.75,0.23531361273543025,Approx,0.08641975308641976,0.025641025641025647,16,0.2857142857142857,0.0
"(400,20)",1.0,0.24995162918027244,Data Splitting,0.010471204188481674,0.0,2,1.0,0.0
"(400,20)",0.0,0.20610109749408795,Naive,0.020833333333333332,0.020833333333333332,4,0.0,0.0
"(400,20)",0.7777777777777778,0.251858852300452,Approx,0.09045226130653267,0.031088082901554404,18,0.3333333333333333,0.0
"(400,20)",1.0,0.26617338235328836,Data Splitting,0.010471204188481674,0.010471204188481674,2,1.0,0.0
"(400,20)",0.0,0.18081136506640463,Naive,0.010471204188481674,0.010471204188481674,2,1.0,0.0
"(400,20)",0.8333333333333334,0.26133636967579754,Approx,0.061224489795918366,0.020833333333333332,12,0.3333333333333333,0.0
"(400,20)",1.0,0.22947902984942736,Data Splitting,0.010471204188481674,0.0,2,1.0,0.0
"(400,20)",1.0,0.160218416593939,Naive,0.010471204188481674,0.010471204188481674,2,0.0,0.0
"(400,20)",0.8571428571428571,0.23939838761871282,Approx,0.07106598984771574,0.020833333333333332,14,0.2857142857142857,0.0
"(400,20)",1.0,0.2978814552437194,Data Splitting,0.011627906976744186,0.011627906976744186,2,1.0,0.0
"(400,20)",0.0,0.18853721163218096,Naive,0.023121387283236997,0.023121387283236997,4,1.0,0.0
"(400,20)",1.0,0.23341525352394546,Approx,0.08938547486033518,0.023121387283236997,16,0.25,0.0
"(400,20)",1.0,0.22721190837364172,Data Splitting,0.011627906976744186,0.0,2,1.0,0.0
"(400,20)",0.0,0.17143874562373065,Naive,0.011627906976744186,0.011627906976744186,2,0.0,0.0
"(400,20)",0.9,0.23534015849419482,Approx,0.11049723756906078,0.023121387283236997,20,0.2,0.0
"(400,20)",1.0,0.3036386745419361,Data Splitting,0.011627906976744186,0.0,2,1.0,0.0
"(400,20)",1.0,0.17841049626888295,Naive,0.034482758620689655,0.034482758620689655,6,0.0,0.0
"(400,20)",1.0,0.25169524084845024,Approx,0.08938547486033518,0.034482758620689655,16,0.375,0.0
"(400,20)",1.0,0.24496551793455718,Data Splitting,0.010471204188481674,0.0,2,1.0,0.0
"(400,20)",1.0,0.17818395809844065,Naive,0.010471204188481674,0.010471204188481674,2,0.0,0.0
"(400,20)",1.0,0.24270235420215808,Approx,0.05128205128205127,0.031088082901554404,10,0.6,0.0
"(400,20)",1.0,0.24382849683758429,Data Splitting,0.020833333333333332,0.010471204188481674,4,1.0,0.0
"(400,20)",0.5,0.18159014110147254,Naive,0.041237113402061855,0.041237113402061855,8,0.5,0.0
"(400,20)",0.8888888888888888,0.2359509734120881,Approx,0.09045226130653267,0.031088082901554404,18,0.3333333333333333,0.0
"(400,20)",0.5,0.2717351525194309,Data Splitting,0.020833333333333332,0.020833333333333332,4,1.0,0.0
"(400,20)",0.6666666666666666,0.18920209695066229,Naive,0.031088082901554404,0.031088082901554404,6,1.0,0.0
"(400,20)",0.7142857142857143,0.23743427966219285,Approx,0.07106598984771574,0.041237113402061855,14,0.5714285714285714,0.0
"(400,20)",1.0,0.31380361132555945,Data Splitting,0.012903225806451613,0.012903225806451613,2,1.0,0.0
"(400,20)",0.0,0.19709418474474033,Naive,0.012903225806451613,0.012903225806451613,2,1.0,0.0
"(400,20)",0.75,0.22847833634033285,Approx,0.05063291139240507,0.012903225806451613,8,0.25,0.0
"(400,20)",1.0,0.3041938758863205,Data Splitting,0.010471204188481674,0.010471204188481674,2,1.0,0.0
"(400,20)",0.0,0.19611598985522388,Naive,0.020833333333333332,0.020833333333333332,4,1.0,0.0
"(400,20)",0.9,0.24721980121195716,Approx,0.1,0.020833333333333332,20,0.2,0.0
"(400,20)",1.0,0.23363954874558288,Data Splitting,0.02094240837696335,0.010526315789473682,4,1.0,0.0
"(400,20)",1.0,0.17074738626362146,Naive,0.02094240837696335,0.02094240837696335,4,0.5,0.0
"(400,20)",1.0,0.23434383841705672,Approx,0.08121827411167512,0.010526315789473682,16,0.125,0.0
"(400,20)",1.0,0.23949407587061655,Data Splitting,0.012903225806451613,0.012903225806451613,2,1.0,0.0
"(400,20)",0.6666666666666666,0.17777340809384254,Naive,0.03821656050955414,0.03821656050955414,6,1.0,0.0
"(400,20)",1.0,0.24621671171519488,Approx,0.1212121212121212,0.03821656050955414,22,0.3,0.0
"(400,20)",0.5,0.2521555030990142,Data Splitting,0.011560693641618498,0.0,4,1.0,0.0
"(400,20)",0.5,0.17427668607636776,Naive,0.023121387283236997,0.023121387283236997,4,0.0,0.0
"(400,20)",0.8333333333333334,0.23675200343888936,Approx,0.05649717514124293,0.023121387283236997,12,0.4,0.0
"(400,20)",1.0,0.23581638233974028,Data Splitting,0.012987012987012988,0.0,2,1.0,0.0
"(400,20)",0.5,0.17848808973624225,Naive,0.02580645161290323,0.02580645161290323,4,0.0,0.0
"(400,20)",0.8333333333333334,0.24023378140694643,Approx,0.07547169811320754,0.038461538461538464,12,0.5,0.0
"(400,20)",1.0,0.23214323295136596,Data Splitting,0.010471204188481674,0.0,2,1.0,0.0
"(400,20)",1.0,0.19075752506833055,Naive,0.010471204188481674,0.010471204188481674,2,0.0,0.0
"(400,20)",1.0,0.22304958620165988,Approx,0.05128205128205127,0.020833333333333332,10,0.4,0.0
"(400,20)",1.0,0.280180486600153,Data Splitting,0.012987012987012988,0.0,2,1.0,0.0
"(400,20)",0.0,0.18552575155120332,Naive,0.02580645161290323,0.02580645161290323,4,0.0,0.0
"(400,20)",1.0,0.23673627888689594,Approx,0.07547169811320754,0.038461538461538464,12,0.5,0.0
"(400,20)",1.0,0.24742770205832737,Data Splitting,0.011627906976744186,0.011627906976744186,2,1.0,0.0
"(400,20)",0.6666666666666666,0.18281350230552254,Naive,0.034482758620689655,0.034482758620689655,6,1.0,0.0
"(400,20)",0.8571428571428571,0.24155634170277832,Approx,0.06741573033707865,0.022988505747126436,14,0.3333333333333333,0.33333333333333337
"(400,20)",1.0,0.22619407288158938,Data Splitting,0.010471204188481674,0.0,2,1.0,0.0
"(400,20)",0.0,0.1773122139455615,Naive,0.010471204188481674,0.010471204188481674,2,0.0,0.0
"(400,20)",1.0,0.22274473710294587,Approx,0.041237113402061855,0.010471204188481674,8,0.25,0.0
"(400,20)",1.0,0.29796848633051404,Data Splitting,0.01612903225806452,0.01612903225806452,2,1.0,0.0
"(400,20)",0.75,0.18259894988410733,Naive,0.06299212598425198,0.06299212598425198,8,1.0,0.0
"(400,20)",1.0,0.21688957355074068,Approx,0.06299212598425198,0.047619047619047616,8,0.75,0.0
"(400,20)",1.0,0.2720361319772865,Data Splitting,0.025641025641025647,0.025641025641025647,4,1.0,0.0
"(400,20)",0.5,0.19122598582287936,Naive,0.025641025641025647,0.025641025641025647,4,1.0,0.0
"(400,20)",0.7142857142857143,0.2591874654412417,Approx,0.08695652173913045,0.03821656050955414,14,0.42857142857142855,0.0
"(400,20)",1.0,0.26449734118072127,Data Splitting,0.010471204188481674,0.0,2,1.0,0.0
"(400,20)",0.25,0.1803394533442696,Naive,0.041237113402061855,0.041237113402061855,8,0.0,0.0
"(400,20)",0.6923076923076923,0.24516359301058668,Approx,0.12807881773399016,0.05128205128205127,26,0.38461538461538464,0.0
"(400,20)",0.0,0.25899711404609294,Data Splitting,0.011627906976744186,0.0,2,1.0,0.0
"(400,20)",1.0,0.1645852613285989,Naive,0.011627906976744186,0.011627906976744186,2,0.0,0.0
"(400,20)",1.0,0.23201609042491156,Approx,0.08839779005524862,0.0,20,0.0,0.0
"(400,20)",0.6666666666666666,0.2668517097451488,Data Splitting,0.034482758620689655,0.023121387283236997,6,1.0,0.0
"(400,20)",0.25,0.18241745299751455,Naive,0.045714285714285714,0.045714285714285714,8,0.6666666666666666,0.0
"(400,20)",1.0,0.23654650713139513,Approx,0.08938547486033518,0.034482758620689655,16,0.375,0.0
"(400,20)",1.0,0.22544998502029973,Data Splitting,0.011627906976744186,0.0,2,1.0,0.0
"(400,20)",0.0,0.17683528668281398,Naive,0.034482758620689655,0.034482758620689655,6,0.0,0.0
"(400,20)",0.9090909090909091,0.2420480687728979,Approx,0.10989010989010989,0.034482758620689655,22,0.3,0.0
"(400,20)",1.0,0.2606316996877839,Data Splitting,0.028985507246376812,0.014598540145985401,4,1.0,0.0
"(400,20)",0.3333333333333333,0.18272990738749997,Naive,0.04316546762589929,0.04316546762589929,6,0.5,0.0
"(400,20)",0.8181818181818182,0.23893710993202175,Approx,0.10884353741496598,0.05714285714285715,22,0.5,0.0
"(400,20)",1.0,0.2486825139076777,Data Splitting,0.020833333333333332,0.0,4,1.0,0.0
"(400,20)",1.0,0.16727866393850316,Naive,0.020833333333333332,0.020833333333333332,4,0.0,0.0
"(400,20)",1.0,0.22189894165228097,Approx,0.061224489795918366,0.010471204188481674,12,0.16666666666666666,0.0
"(400,20)",1.0,0.23411788244765772,Data Splitting,0.010471204188481674,0.0,2,1.0,0.0
"(400,20)",0.0,0.17309897317889983,Naive,0.010471204188481674,0.010471204188481674,2,0.0,0.0
"(400,20)",0.7142857142857143,0.22860121653746576,Approx,0.07106598984771574,0.020833333333333332,14,0.2857142857142857,0.0
"(400,20)",1.0,0.279877391712958,Data Splitting,0.011627906976744186,0.011627906976744186,2,1.0,0.0
"(400,20)",0.5,0.18859621574187108,Naive,0.023121387283236997,0.023121387283236997,4,1.0,0.0
"(400,20)",0.75,0.2357408624516652,Approx,0.08938547486033518,0.034482758620689655,16,0.375,0.0
"(400,20)",1.0,0.2909400375843821,Data Splitting,0.011627906976744186,0.0,2,1.0,0.0
"(400,20)",1.0,0.17854812905497697,Naive,0.023121387283236997,0.023121387283236997,4,0.0,0.0
"(400,20)",1.0,0.24602191207279367,Approx,0.10989010989010989,0.023121387283236997,22,0.2,0.0
"(400,20)",1.0,0.24444485303412497,Data Splitting,0.010471204188481674,0.0,2,1.0,0.0
"(400,20)",0.5,0.17338052399502107,Naive,0.020833333333333332,0.020833333333333332,4,0.0,0.0
"(400,20)",0.8333333333333334,0.23217919090646033,Approx,0.061224489795918366,0.031088082901554404,12,0.5,0.0
"(400,20)",0.0,0.2668307138884313,Data Splitting,0.010471204188481674,0.010471204188481674,2,1.0,0.0
"(400,20)",0.0,0.1752771376796113,Naive,0.010471204188481674,0.010471204188481674,2,1.0,0.0
"(400,20)",1.0,0.2439555492751432,Approx,0.05128205128205127,0.020833333333333332,10,0.4,0.0
"(400,20)",1.0,0.25852089948348683,Data Splitting,0.014492753623188404,0.014492753623188404,2,1.0,0.0
"(400,20)",0.0,0.18568865680319074,Naive,0.028776978417266185,0.028776978417266185,4,1.0,0.0
"(400,20)",0.5,0.258481777812371,Approx,0.05673758865248227,0.04285714285714286,8,0.75,0.0
"(400,20)",1.0,0.2377456959811357,Data Splitting,0.010471204188481674,0.010471204188481674,2,1.0,0.0
"(400,20)",0.0,0.1701786589351673,Naive,0.010471204188481674,0.010471204188481674,2,1.0,0.0
"(400,20)",0.8333333333333334,0.23277524941792635,Approx,0.061224489795918366,0.020833333333333332,12,0.3333333333333333,0.0
"(400,20)",1.0,0.2629592141536146,Data Splitting,0.011627906976744186,0.011627906976744186,2,1.0,0.0
"(400,20)",0.0,0.17347539770018722,Naive,0.011627906976744186,0.011627906976744186,2,1.0,0.0
"(400,20)",0.7142857142857143,0.24594852251250504,Approx,0.07865168539325842,0.023121387283236997,14,0.2857142857142857,0.0
"(400,20)",1.0,0.23861439837822446,Data Splitting,0.010471204188481674,0.010471204188481674,2,1.0,0.0
"(400,20)",0.0,0.18548176436220498,Naive,0.020833333333333332,0.020833333333333332,4,1.0,0.0
"(400,20)",0.8,0.2541267697502246,Approx,0.1,0.020833333333333332,20,0.2,0.0
"(400,20)",1.0,0.2518925540161072,Data Splitting,0.020833333333333332,0.0,4,1.0,0.0
"(400,20)",1.0,0.1758965359136167,Naive,0.010471204188481674,0.010471204188481674,2,0.0,0.0
"(400,20)",0.8,0.22671095790637671,Approx,0.05128205128205127,0.0,10,0.0,0.0
"(400,20)",1.0,0.2784779419585539,Data Splitting,0.010471204188481674,0.0,2,1.0,0.0
"(400,20)",0.5,0.1813410040923873,Naive,0.041237113402061855,0.041237113402061855,8,0.0,0.0
"(400,20)",0.875,0.2500329551342825,Approx,0.08080808080808081,0.031088082901554404,16,0.375,0.0
"(400,20)",1.0,0.28436544699455163,Data Splitting,0.011627906976744186,0.0,2,1.0,0.0
"(400,20)",0.6666666666666666,0.18755668990954932,Naive,0.034482758620689655,0.034482758620689655,6,0.0,0.0
"(400,20)",0.875,0.24738937599693153,Approx,0.07821229050279328,0.045714285714285714,16,0.5714285714285714,0.0
"(400,20)",1.0,0.2343528498756988,Data Splitting,0.010471204188481674,0.0,2,1.0,0.0
"(400,20)",0.5,0.17818355168056832,Naive,0.020833333333333332,0.020833333333333332,4,0.0,0.0
"(400,20)",0.8333333333333334,0.22960467766383985,Approx,0.061224489795918366,0.020833333333333332,12,0.3333333333333333,0.0
"(400,20)",1.0,0.22900498999713606,Data Splitting,0.010471204188481674,0.0,2,1.0,0.0
"(400,20)",1.0,0.16618515606847578,Naive,0.010471204188481674,0.010471204188481674,2,0.0,0.0
"(400,20)",1.0,0.23825118009908627,Approx,0.08080808080808081,0.010471204188481674,16,0.125,0.0
"(400,20)",0.0,0.25403710067009444,Data Splitting,0.010471204188481674,0.0,2,1.0,0.0
"(400,20)",1.0,0.1676125849564564,Naive,0.020833333333333332,0.020833333333333332,4,0.0,0.0
"(400,20)",0.8571428571428571,0.24067449926604337,Approx,0.07106598984771574,0.010471204188481674,14,0.14285714285714285,0.0
"(400,20)",1.0,0.2594519580692208,Data Splitting,0.014598540145985401,0.014598540145985401,2,1.0,0.0
"(400,20)",0.75,0.17996194326236675,Naive,0.05714285714285715,0.05714285714285715,8,1.0,0.0
"(400,20)",0.8333333333333334,0.22898577618923502,Approx,0.056338028169014086,0.028985507246376812,12,0.5,0.0
"(400,20)",1.0,0.3079921002533099,Data Splitting,0.011627906976744186,0.011627906976744186,2,1.0,0.0
"(400,20)",1.0,0.18530458435041877,Naive,0.034482758620689655,0.034482758620689655,6,1.0,0.0
"(400,20)",0.8333333333333334,0.2448712533763919,Approx,0.12021857923497269,0.056818181818181816,24,0.45454545454545453,0.0
"(400,20)",1.0,0.2555943275641983,Data Splitting,0.010471204188481674,0.010471204188481674,2,1.0,0.0
"(400,20)",0.6666666666666666,0.1845580061765583,Naive,0.031088082901554404,0.031088082901554404,6,1.0,0.0
"(400,20)",0.875,0.22970259586261269,Approx,0.08080808080808081,0.020833333333333332,16,0.25,0.0
"(400,20)",1.0,0.3051329407824938,Data Splitting,0.011627906976744186,0.0,2,1.0,0.0
"(400,20)",1.0,0.1927207335624935,Naive,0.023121387283236997,0.023121387283236997,4,0.0,0.0
"(400,20)",0.8333333333333334,0.23886198979923193,Approx,0.06779661016949151,0.045714285714285714,12,0.6666666666666666,0.0
"(400,20)",1.0,0.2801102187714678,Data Splitting,0.010471204188481674,0.0,2,1.0,0.0
"(400,20)",1.0,0.19212891095370865,Naive,0.010471204188481674,0.010471204188481674,2,0.0,0.0
"(400,20)",1.0,0.25561404268902577,Approx,0.08080808080808081,0.010471204188481674,16,0.125,0.0
"(400,20)",1.0,0.24801942653904566,Data Splitting,0.010471204188481674,0.0,2,1.0,0.0
"(400,20)",0.0,0.17306614550566563,Naive,0.020833333333333332,0.020833333333333332,4,0.0,0.0
"(400,20)",0.75,0.2490242554136281,Approx,0.08080808080808081,0.031088082901554404,16,0.375,0.0
"(400,20)",1.0,0.28042813949602385,Data Splitting,0.011627906976744186,0.0,2,1.0,0.0
"(400,20)",0.6666666666666666,0.1866285638541794,Naive,0.034482758620689655,0.034482758620689655,6,0.0,0.0
"(400,20)",1.0,0.266120509037505,Approx,0.06779661016949151,0.023121387283236997,12,0.3333333333333333,0.0
