"n,p",coverage rate,avg length,method,F1 score,F1 score (post inf),E size
"(200,10)",1.0,0.33370014310756324,Data Splitting,0.05405405405405406,0.0273972602739726,2
"(200,10)",0.0,0.23206335304917716,Naive,0.05405405405405406,0.0273972602739726,2
"(200,10)",1.0,0.3085474057018948,Approx,0.15384615384615385,0.0,6
"(200,10)",1.0,0.3780093541795446,Data Splitting,0.04395604395604395,0.0,2
"(200,10)",0.0,0.256085351443696,Naive,0.04395604395604395,0.02222222222222222,2
"(200,10)",1.0,0.34330918058456167,Approx,0.04395604395604395,0.0,2
"(200,10)",1.0,0.34353449751682424,Data Splitting,0.04395604395604395,0.02222222222222222,2
"(200,10)",0.0,0.25570879776020944,Naive,0.04395604395604395,0.02222222222222222,2
"(200,10)",1.0,0.3243810788072583,Approx,0.12631578947368421,0.02222222222222222,6
"(200,10)",1.0,0.3563179881728725,Data Splitting,0.10526315789473684,0.0,4
"(200,10)",1.0,0.23014781810713875,Naive,0.05405405405405406,0.0273972602739726,2
"(200,10)",1.0,0.32441877546007997,Approx,0.15,0.0273972602739726,8
"(200,10)",1.0,0.3971428339759749,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.2957168141977824,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.5,0.3436403838133324,Approx,0.0851063829787234,0.02197802197802198,4
"(200,10)",0.0,0.38734844639667476,Data Splitting,0.04395604395604395,0.02222222222222222,2
"(200,10)",1.0,0.23742912125345667,Naive,0.04395604395604395,0.02222222222222222,2
"(200,10)",1.0,0.3458818149752472,Approx,0.04395604395604395,0.0,2
"(200,10)",1.0,0.4221583178035771,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.27118637300818593,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.34163980774659364,Approx,0.04347826086956522,0.0,2
"(200,10)",1.0,0.3072837127987384,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.23408188783190603,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.3355119088752612,Approx,0.23529411764705882,0.0,12
"(200,10)",1.0,0.4103461831478792,Data Splitting,0.05555555555555556,0.0,2
"(200,10)",1.0,0.2359305798316368,Naive,0.05555555555555556,0.028169014084507043,2
"(200,10)",1.0,0.33218657708593624,Approx,0.10526315789473684,0.028169014084507043,6
"(200,10)",1.0,0.2976506426415463,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",1.0,0.22643509777938808,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.3334407097192572,Approx,0.19999999999999998,0.0,10
"(200,10)",1.0,0.39832944764516987,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.27935137692799406,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.33315736844537197,Approx,0.0851063829787234,0.0,4
"(200,10)",1.0,0.3886770573373641,Data Splitting,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.3333333333333333,0.27399048425195605,Naive,0.125,0.06451612903225806,6
"(200,10)",0.7142857142857143,0.39303180565193824,Approx,0.2692307692307693,0.04347826086956522,14
"(200,10)",1.0,0.3648903579970285,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.2696124241779675,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.3137557798270253,Approx,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.3824115180045301,Data Splitting,0.04395604395604395,0.0,2
"(200,10)",1.0,0.24279048301064915,Naive,0.04395604395604395,0.02222222222222222,2
"(200,10)",0.5,0.3748852153488318,Approx,0.08602150537634408,0.0,4
"(200,10)",1.0,0.3284757435977079,Data Splitting,0.05405405405405406,0.0,2
"(200,10)",1.0,0.2417906855401462,Naive,0.05405405405405406,0.0273972602739726,2
"(200,10)",1.0,0.32584522873509564,Approx,0.24390243902439027,0.0,10
"(200,10)",1.0,0.4186616603155069,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.27097068456071605,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.6666666666666666,0.363879929831336,Approx,0.125,0.04347826086956522,6
"(200,10)",1.0,0.39019101312487486,Data Splitting,0.04395604395604395,0.0,2
"(200,10)",0.0,0.25339839601515257,Naive,0.04395604395604395,0.02222222222222222,2
"(200,10)",1.0,0.36005923183686106,Approx,0.04395604395604395,0.0,2
"(200,10)",1.0,0.3845212063995279,Data Splitting,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.0,0.26978406730050686,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.6,0.34923193672604347,Approx,0.19999999999999998,0.04347826086956522,10
"(200,10)",1.0,0.36973790628042935,Data Splitting,0.05405405405405406,0.0,2
"(200,10)",0.0,0.2525325394509795,Naive,0.05405405405405406,0.0273972602739726,2
"(200,10)",1.0,0.34897808760851534,Approx,0.19512195121951217,0.0,10
"(200,10)",1.0,0.33711817522161325,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",0.0,0.25776178879301737,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.293285912165107,Approx,0.125,0.02197802197802198,6
"(200,10)",1.0,0.3548471137787923,Data Splitting,0.04347826086956522,0.02197802197802198,2
"(200,10)",0.0,0.2528595193566938,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.32793770118445964,Approx,0.19999999999999998,0.02197802197802198,10
"(200,10)",1.0,0.3290007246334879,Data Splitting,0.04395604395604395,0.02222222222222222,2
"(200,10)",0.0,0.24005881965076048,Naive,0.04395604395604395,0.02222222222222222,2
"(200,10)",0.8,0.3566497621657484,Approx,0.20202020202020202,0.02222222222222222,10
"(200,10)",1.0,0.37426903861265376,Data Splitting,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.24687893884570822,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.29735470639463,Approx,0.163265306122449,0.02197802197802198,8
"(200,10)",1.0,0.346874254222149,Data Splitting,0.04347826086956522,0.0,2
"(200,10)",1.0,0.2370959776254148,Naive,0.04347826086956522,0.02197802197802198,2
"(200,10)",1.0,0.34533288905468096,Approx,0.19999999999999998,0.0,10
"(200,10)",1.0,0.43339850598132446,Data Splitting,0.04395604395604395,0.0,2
"(200,10)",0.0,0.2923879984645858,Naive,0.04395604395604395,0.02222222222222222,2
"(200,10)",0.6666666666666666,0.37346247141540606,Approx,0.12631578947368421,0.04395604395604395,6
"(400,20)",1.0,0.24337834064751315,Data Splitting,0.010471204188481674,0.0,2
"(400,20)",1.0,0.16250730623980936,Naive,0.010471204188481674,0.005249343832020998,2
"(400,20)",0.75,0.240458121666883,Approx,0.041237113402061855,0.0,8
"(400,20)",1.0,0.2711534149478876,Data Splitting,0.011627906976744186,0.005830903790087463,2
"(400,20)",0.0,0.1974182390938867,Naive,0.011627906976744186,0.005830903790087463,2
"(400,20)",1.0,0.22413114722584404,Approx,0.056818181818181816,0.005830903790087463,10
"(400,20)",1.0,0.2394374935576117,Data Splitting,0.014598540145985401,0.0,2
"(400,20)",1.0,0.17944664276081396,Naive,0.014598540145985401,0.007326007326007326,2
"(400,20)",0.8333333333333334,0.25747892334701694,Approx,0.08450704225352113,0.007326007326007326,12
"(400,20)",1.0,0.24891664655510495,Data Splitting,0.04597701149425288,0.0,4
"(400,20)",1.0,0.18206936208266905,Naive,0.023255813953488372,0.011695906432748537,2
"(400,20)",1.0,0.2149817521428145,Approx,0.13043478260869565,0.0,14
"(400,20)",1.0,0.2669427525816661,Data Splitting,0.010471204188481674,0.0,2
"(400,20)",0.0,0.17924573731263468,Naive,0.010471204188481674,0.005249343832020998,2
"(400,20)",1.0,0.2409749333532058,Approx,0.07106598984771574,0.005249343832020998,14
"(400,20)",1.0,0.25724402268802055,Data Splitting,0.010471204188481674,0.0,2
"(400,20)",0.0,0.18202409376943274,Naive,0.010471204188481674,0.005249343832020998,2
"(400,20)",0.875,0.23847305053651746,Approx,0.08080808080808081,0.005249343832020998,16
"(400,20)",1.0,0.2678888476469548,Data Splitting,0.014492753623188404,0.007272727272727273,2
"(400,20)",1.0,0.1773975600141408,Naive,0.014492753623188404,0.007272727272727273,2
"(400,20)",0.8571428571428571,0.22442706206178348,Approx,0.08333333333333334,0.021660649819494584,14
"(400,20)",1.0,0.2833897206743928,Data Splitting,0.011661807580174927,0.005847953216374269,2
"(400,20)",0.0,0.1728175297595494,Naive,0.011661807580174927,0.005847953216374269,2
"(400,20)",1.0,0.23121499118446764,Approx,0.045845272206303724,0.005847953216374269,8
"(400,20)",1.0,0.25335503230163486,Data Splitting,0.010471204188481674,0.005249343832020998,2
"(400,20)",1.0,0.1598962615896818,Naive,0.010471204188481674,0.005249343832020998,2
"(400,20)",1.0,0.24743524893000243,Approx,0.061224489795918366,0.005249343832020998,12
"(400,20)",1.0,0.2119676220560926,Data Splitting,0.014285714285714287,0.007168458781362008,2
"(400,20)",0.5,0.1672048841913507,Naive,0.028368794326241138,0.014285714285714287,4
"(400,20)",1.0,0.22525514415108752,Approx,0.05517241379310344,0.007168458781362008,12
"(400,20)",1.0,0.2520270586357615,Data Splitting,0.014285714285714287,0.0,2
"(400,20)",0.0,0.17909766476190225,Naive,0.014285714285714287,0.007168458781362008,2
"(400,20)",1.0,0.22889339375185463,Approx,0.08219178082191782,0.014285714285714287,14
"(400,20)",1.0,0.2295309713828111,Data Splitting,0.010471204188481674,0.0,2
"(400,20)",0.0,0.17248178077715448,Naive,0.010471204188481674,0.005249343832020998,2
"(400,20)",0.6666666666666666,0.22062392586851898,Approx,0.031088082901554404,0.005249343832020998,6
"(400,20)",1.0,0.2528664830366606,Data Splitting,0.010471204188481674,0.0,2
"(400,20)",0.5,0.1825859357621231,Naive,0.020833333333333332,0.010471204188481674,4
"(400,20)",0.875,0.24880109676122,Approx,0.08080808080808081,0.010471204188481674,16
"(400,20)",1.0,0.2564071607374202,Data Splitting,0.012987012987012988,0.0,2
"(400,20)",0.5,0.17134639639595267,Naive,0.02580645161290323,0.012987012987012988,4
"(400,20)",0.8333333333333334,0.2389524315966113,Approx,0.07547169811320754,0.012987012987012988,12
"(400,20)",1.0,0.2530613189797857,Data Splitting,0.010471204188481674,0.0,2
"(400,20)",0.0,0.18728255490633183,Naive,0.010471204188481674,0.005249343832020998,2
"(400,20)",0.8,0.2505161492314361,Approx,0.14634146341463414,0.01566579634464752,30
"(400,20)",1.0,0.25164052558601296,Data Splitting,0.011627906976744186,0.0,2
"(400,20)",0.0,0.1864428522339451,Naive,0.011627906976744186,0.005830903790087463,2
"(400,20)",1.0,0.22421338295769558,Approx,0.045714285714285714,0.005830903790087463,8
"(400,20)",1.0,0.2403748176158637,Data Splitting,0.011627906976744186,0.0,2
"(400,20)",0.0,0.1777297212260647,Naive,0.011627906976744186,0.005830903790087463,2
"(400,20)",1.0,0.22376367219000692,Approx,0.023121387283236997,0.0,4
"(400,20)",1.0,0.26450108902107805,Data Splitting,0.011661807580174927,0.0,2
"(400,20)",0.75,0.17432450146027,Naive,0.045845272206303724,0.02318840579710145,8
"(400,20)",0.9166666666666666,0.24138717349199446,Approx,0.1315068493150685,0.02318840579710145,24
"(400,20)",1.0,0.2520628491564651,Data Splitting,0.010471204188481674,0.005249343832020998,2
"(400,20)",0.0,0.16803295360442722,Naive,0.010471204188481674,0.005249343832020998,2
"(400,20)",1.0,0.23059352447996365,Approx,0.061224489795918366,0.005249343832020998,12
"(400,20)",1.0,0.2515491142026403,Data Splitting,0.011627906976744186,0.0,2
"(400,20)",0.0,0.1802616671621179,Naive,0.011627906976744186,0.005830903790087463,2
"(400,20)",1.0,0.24370765560434132,Approx,0.09944751381215469,0.005830903790087463,20
"(400,20)",1.0,0.2602023651593753,Data Splitting,0.020833333333333332,0.005249343832020998,4
"(400,20)",0.5,0.1783295668892577,Naive,0.020833333333333332,0.010471204188481674,4
"(400,20)",0.875,0.2536511391979957,Approx,0.08080808080808081,0.010471204188481674,16
"(400,20)",1.0,0.2656343632047431,Data Splitting,0.014492753623188404,0.0,2
"(400,20)",0.0,0.16136886447999274,Naive,0.014492753623188404,0.007272727272727273,2
"(400,20)",0.6666666666666666,0.2257474539551497,Approx,0.04285714285714286,0.007272727272727273,6
"(400,20)",1.0,0.26389822315777456,Data Splitting,0.0,0.0,2
"(400,20)",0.5,0.18047592581959454,Naive,0.014388489208633093,0.007246376811594202,4
"(400,20)",0.7142857142857143,0.22525651475386316,Approx,0.04166666666666667,0.007246376811594202,14
"(400,20)",1.0,0.2070153816895011,Data Splitting,0.010471204188481674,0.005249343832020998,2
"(400,20)",1.0,0.16577842480145014,Naive,0.020833333333333332,0.010471204188481674,4
"(400,20)",1.0,0.21907302260568615,Approx,0.05128205128205127,0.005249343832020998,10
"(400,20)",1.0,0.2788128310564366,Data Splitting,0.0,0.0,2
"(400,20)",0.0,0.16787055461733882,Naive,0.0345821325648415,0.017441860465116282,6
"(400,20)",0.8333333333333334,0.23146397630657514,Approx,0.0679886685552408,0.017441860465116282,12
"(1000,50)",1.0,0.15189468495434638,Data Splitting,0.0033388981636060097,0.001670843776106934,2
"(1000,50)",0.4,0.11094645070306712,Naive,0.016583747927031506,0.00832639467110741,10
"(1000,50)",1.0,0.1517872704487332,Approx,0.04213938411669368,0.011637572734829592,38
"(1000,50)",1.0,0.17235229707313232,Data Splitting,0.0026827632461435278,0.001342281879194631,2
"(1000,50)",0.75,0.1096318261986197,Naive,0.010688042752171008,0.0053583389149363695,8
"(1000,50)",1.0,0.14845647815957086,Approx,0.039292730844793705,0.009358288770053475,38
"(1000,50)",0.5,0.16455588751693834,Data Splitting,0.0070546737213403885,0.0035335689045936395,4
"(1000,50)",0.4,0.11170188293339134,Naive,0.017543859649122806,0.00881057268722467,10
"(1000,50)",0.9444444444444444,0.15476801842660354,Approx,0.044596912521440824,0.014059753954305799,36
